Subject,Standard,Chapter,Chapter name,Questions,Easy,Medium,Hard,Challenging,A,B,C,D,Figure-linked
Biology,11,1,Biomolecules,116,29,46,31,10,29,29,29,29,4
Biology,11,2,Respiration and Energy Transfer,112,29,47,24,12,28,28,28,28,3
Biology,11,3,Human Nutrition,104,27,44,25,8,26,26,26,26,9
Biology,11,4,Excretion and Osmoregulation,104,28,42,23,11,26,26,26,26,6
Biology,12,1,Reproduction in Lower and Higher Plants,120,30,48,30,12,30,30,30,30,4
Biology,12,2,Reproduction in Lower and Higher Animals,120,30,48,30,12,30,30,30,30,4
Biology,12,3,Inheritance and Variation,140,35,56,35,14,35,35,35,35,4
Biology,12,4,Molecular Basis of Inheritance,132,33,53,33,13,33,33,33,33,4
Biology,12,5,Origin and Evolution of Life,100,25,40,25,10,25,25,25,25,4
Biology,12,6,Plant Water Relation,88,22,35,22,9,22,22,22,22,4
Biology,12,7,Plant Growth and Mineral Nutrition,100,25,40,25,10,25,25,25,25,4
Biology,12,8,Respiration and Circulation,132,33,53,33,13,33,33,33,33,4
Biology,12,9,Control and Co-ordination,132,33,53,33,13,33,33,33,33,4
Biology,12,10,Human Health and Diseases,120,30,48,30,12,30,30,30,30,4
Biology,12,11,Enhancement of Food Production,100,25,40,25,10,25,25,25,25,4
Biology,12,12,Biotechnology,112,28,45,28,11,28,28,28,28,4
Biology,12,13,Organisms and Populations,100,25,40,25,10,25,25,25,25,4
Biology,12,14,Ecosystems and Energy Flow,88,22,35,22,9,22,22,22,22,4
Biology,12,15,"Biodiversity, Conservation and Environmental Issues",100,25,40,25,10,25,25,25,25,4
