id,standard,subject,discipline,source_class,unit,unit_number,unit_name,chapter,branch,topic,subtopic,question_type,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation,difficulty,cognitive_level,source_document,source_chapter,source_page,figure_asset,figure_required,figure_alt_text,generator_eligible,validation_status
NEET27-CHEM-0001,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Atomic theory and Avogadro's law,Avogadro's law,One-step numerical MCQ,Two vessels are held at the same temperature and pressure. The first contains 0.50 mol of oxygen gas and occupies a volume V. The second contains nitrogen gas and occupies a volume 3V. The amount of nitrogen present in the second vessel is,3.0 mol,1.0 mol,0.50 mol,1.5 mol,D,1.5 mol,"Since both vessels are at the same temperature and pressure, volume is directly proportional to amount of substance. Trebling the volume trebles the amount, so the nitrogen present is 3 × 0.50 mol = 1.5 mol. The identity of the gas is irrelevant, which is the essential content of Avogadro's law.",Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0002,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Mole concept,mass-mole conversion,One-step numerical MCQ,How many moles are present in 4.25 g of NH₃?,0.125 mol,0.375 mol,0.5 mol,0.25 mol,D,0.25 mol,Amount = mass/molar mass = 4.25/17 = 0.25 mol.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0003,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Mole concept,mass-mole conversion,One-step numerical MCQ,How many moles are present in 66 g of CO₂?,1.5 mol,2.25 mol,0.75 mol,3 mol,A,1.5 mol,Amount = mass/molar mass = 66/44 = 1.5 mol.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0004,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Laws of chemical combination,Law of conservation of mass,One-step numerical MCQ,"In a sealed vessel, 5.6 g of iron reacts completely with 3.2 g of sulfur to form iron(II) sulfide as the only product. The mass of iron(II) sulfide formed is",2.4 g,5.6 g,8.8 g,8.0 g,C,8.8 g,"Both reactants are completely consumed and iron(II) sulfide is the only product, so the whole of the reactant mass appears in the product. Adding gives 5.6 g + 3.2 g = 8.8 g.",Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0005,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Stoichiometry,mole ratio,One-step numerical MCQ,"For 2KClO₃ → 2KCl + 3O₂, how many moles of O₂ are formed from 2 mol of KClO₃, with other reactants in excess?",3 mol,1.5 mol,6 mol,4.5 mol,A,3 mol,The stoichiometric ratio KClO₃:O₂ is 2:3; hence the amount formed is 3 mol.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0006,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Atomic and molecular masses,relative molecular mass,Conceptual/application MCQ,The relative molecular mass of H₂SO₄ is:,96,98,100,49,B,98,2(1) + 32 + 4(16) = 98.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0007,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Mole concept,atoms in a molecule,One-step numerical MCQ,The total number of atoms present in 0.25 mol of CH₄ molecules is:,0.25Nₐ,Nₐ,1.25Nₐ,5Nₐ,C,1.25Nₐ,"Each CH₄ molecule contains five atoms, so the total is 5 × 0.25Nₐ = 1.25Nₐ.",Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0008,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Stoichiometry,mole ratio,One-step numerical MCQ,"For N₂ + 3H₂ → 2NH₃, how many moles of NH₃ are formed from 3 mol of H₂, with other reactants in excess?",4 mol,1 mol,2 mol,3 mol,C,2 mol,The stoichiometric ratio H₂:NH₃ is 3:2; hence the amount formed is 2 mol.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0009,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Laws of chemical combination,Law of conservation of mass,Graph/data interpretation MCQ,"When 10.0 g of calcium carbonate is heated in an open crucible, 4.4 g of carbon dioxide escapes and a residue of mass 5.6 g remains. These observations",illustrate the law of definite proportions,illustrate the law of multiple proportions,violate the law of conservation of mass,are consistent with the law of conservation of mass,D,are consistent with the law of conservation of mass,"The total mass of products is the residue plus the escaped gas, that is 5.6 g + 4.4 g = 10.0 g, which equals the mass of calcium carbonate taken. Mass is therefore conserved. The apparent loss in an open crucible is only the carbon dioxide leaving the balance pan, and here it has been measured.",Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0010,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Laws of chemical combination,Identifying the governing law,One-step numerical MCQ,Carbon monoxide and carbon dioxide contain oxygen in the mass ratio 1 : 2 for a fixed mass of carbon. This observation is a direct illustration of the,law of multiple proportions,law of definite proportions,law of conservation of mass,Gay-Lussac's law of gaseous volumes,A,law of multiple proportions,"Carbon and oxygen form two different compounds. For the same mass of carbon, the oxygen masses are in the simple ratio 1 : 2. That is precisely the statement of the law of multiple proportions.",Medium,Comprehension,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0011,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Empirical Formula,empirical formula,Conceptual/application MCQ,Which description best identifies empirical formula?,moles of solute per cubic decimetre of solution,the simplest whole-number ratio of atoms in a compound,the reactant consumed first in a reaction,an integral multiple of the empirical formula,B,the simplest whole-number ratio of atoms in a compound,Empirical formula is the simplest whole-number ratio of atoms in a compound. It is obtained from mole ratios after dividing by the smallest value.,Medium,Recall,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0012,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Mole concept,mass-mole conversion,One-step numerical MCQ,How many moles are present in 48 g of O₂?,3 mol,1.5 mol,2.25 mol,0.75 mol,B,1.5 mol,Amount = mass/molar mass = 48/32 = 1.5 mol.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0013,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Limiting Reagent,limiting reagent,Sequence/match MCQ,Which term–statement pair is correctly matched?,limiting reagent — it fixes the maximum theoretical amount of product,empirical formula — its multiplier equals molar mass divided by empirical-formula mass,molecular formula — the elemental percentages of a pure compound sum to 100 percent,percentage composition — it is obtained from mole ratios after dividing by the smallest value,A,limiting reagent — it fixes the maximum theoretical amount of product,The correct match is limiting reagent — it fixes the maximum theoretical amount of product. The remaining pairs cross-match a term with a statement belonging to another concept.,Difficult,Analysis,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0014,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Limiting Reagent,limiting reagent,Reaction/reagent MCQ,Which description best identifies limiting reagent?,"mass of an element divided by molar mass of compound, multiplied by 100",moles of solute per cubic decimetre of solution,the reactant consumed first in a reaction,digits that express the precision justified by a measurement,C,the reactant consumed first in a reaction,Limiting reagent is the reactant consumed first in a reaction. It fixes the maximum theoretical amount of product.,Easy,Recall,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0015,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Molecular Formula,molecular formula,Statement-based MCQ,Consider the following statements about molecular formula: I. An integral multiple of the empirical formula. II. Its multiplier does NOT equal molar mass divided by empirical-formula mass. Which option is correct?,Neither I nor II is correct,Both I and II are correct,Only I is correct,Only II is correct,C,Only I is correct,Only I is correct. Molecular formula: an integral multiple of the empirical formula. Its multiplier equals molar mass divided by empirical-formula mass.,Difficult,Evaluation,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0016,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Stoichiometry,limiting reagent,Reaction/reagent MCQ,"When 2.0 mol H₂ and 0.50 mol O₂ react according to 2H₂ + O₂ → 2H₂O, the limiting reagent is:",O₂,H₂,neither reactant,H₂O,A,O₂,"Only 1.0 mol H₂ is required for 0.50 mol O₂, so oxygen is consumed first.",Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0017,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Avogadro law,gas volumes,Conceptual/application MCQ,"At the same temperature and pressure, 5 L of N₂ and 5 L of CO₂ contain:",equal masses,equal numbers of atoms,equal molar masses,equal numbers of molecules,D,equal numbers of molecules,Avogadro's law relates equal gas volumes at the same temperature and pressure to equal numbers of molecules.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0018,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Stoichiometry,mole ratio,One-step numerical MCQ,"For 2H₂ + O₂ → 2H₂O, how many moles of O₂ are formed from 1 mol of H₂, with other reactants in excess?",0.5 mol,0.25 mol,0.75 mol,1 mol,A,0.5 mol,The stoichiometric ratio H₂:O₂ is 2:1; hence the amount formed is 0.5 mol.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0019,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Stoichiometry,mole ratio,One-step numerical MCQ,"For 2KClO₃ → 2KCl + 3O₂, how many moles of O₂ are formed from 1 mol of KClO₃, with other reactants in excess?",2.25 mol,1.5 mol,3 mol,0.75 mol,B,1.5 mol,The stoichiometric ratio KClO₃:O₂ is 2:3; hence the amount formed is 1.5 mol.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0020,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Atomic theory and Avogadro's law,Dalton's atomic theory,Conceptual/application MCQ,Which postulate of Dalton's atomic theory is contradicted by the existence of isotopes?,Atoms can neither be created nor destroyed in a chemical reaction,All atoms of a given element are identical in mass and in all other properties,Matter consists of indivisible atoms,Atoms of different elements combine in simple whole number ratios to form compounds,B,All atoms of a given element are identical in mass and in all other properties,Isotopes such as chlorine-35 and chlorine-37 are atoms of the same element with different masses. Their existence directly contradicts the postulate that all atoms of a given element are identical in mass. The other postulates named remain unaffected by isotopy.,Medium,Comprehension,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0021,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Laws of chemical combination,Law of definite proportions,One-step numerical MCQ,"A pure compound of nitrogen and oxygen is found to contain 30.4 percent nitrogen by mass. A 5.00 g sample of the same pure compound, obtained from a different source, contains a mass of oxygen equal to",2.50 g,3.04 g,1.52 g,3.48 g,D,3.48 g,"Because the compound is pure and of the same identity, its composition is fixed. The oxygen content is 100 − 30.4 = 69.6 percent by mass. For a 5.00 g sample the mass of oxygen is 69.6 percent of 5.00 g, which is 3.48 g.",Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0022,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Atomic and molecular masses,Molecular mass,One-step numerical MCQ,"Using H = 1.0 u, S = 32.0 u and O = 16.0 u, the molecular mass of H₂SO₄ is",82.0 u,49.0 u,98.0 u,64.0 u,C,98.0 u,"H₂SO₄ contains two H atoms, one S atom and four O atoms. Its molecular mass is 2(1.0) + 32.0 + 4(16.0) = 98.0 u.",Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0023,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Laws of chemical combination,Law of multiple proportions,Multi-step numerical MCQ,"An element X forms two chlorides. In chloride A, 2.00 g of X is combined with 3.55 g of chlorine. In chloride B, 2.00 g of X is combined with 7.10 g of chlorine. If the formula of chloride A is XCl, the formula of chloride B is",XCl₄,X₂Cl,XCl₃,XCl₂,D,XCl₂,"The mass of X is already fixed at 2.00 g in both chlorides, so the chlorine masses may be compared directly. The ratio is 3.55 : 7.10, which reduces to 1 : 2. Chloride B therefore contains twice as many chlorine atoms per atom of X as chloride A. Since A is XCl, chloride B must be XCl₂.",Difficult,Analysis,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
