id,unit,topic,difficulty,question_type
NEET27-CHEM-0001,1,Atomic theory and Avogadro's law,Medium,One-step numerical MCQ
NEET27-CHEM-0002,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0003,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0004,1,Laws of chemical combination,Medium,One-step numerical MCQ
NEET27-CHEM-0005,1,Stoichiometry,Medium,One-step numerical MCQ
NEET27-CHEM-0006,1,Atomic and molecular masses,Medium,Conceptual/application MCQ
NEET27-CHEM-0007,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0008,1,Stoichiometry,Medium,One-step numerical MCQ
NEET27-CHEM-0009,1,Laws of chemical combination,Medium,Graph/data interpretation MCQ
NEET27-CHEM-0010,1,Laws of chemical combination,Medium,One-step numerical MCQ
NEET27-CHEM-0011,1,Empirical Formula,Medium,Conceptual/application MCQ
NEET27-CHEM-0012,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0013,1,Limiting Reagent,Difficult,Sequence/match MCQ
NEET27-CHEM-0014,1,Limiting Reagent,Easy,Reaction/reagent MCQ
NEET27-CHEM-0015,1,Molecular Formula,Difficult,Statement-based MCQ
NEET27-CHEM-0016,1,Stoichiometry,Medium,Reaction/reagent MCQ
NEET27-CHEM-0017,1,Avogadro law,Medium,Conceptual/application MCQ
NEET27-CHEM-0018,1,Stoichiometry,Medium,One-step numerical MCQ
NEET27-CHEM-0019,1,Stoichiometry,Medium,One-step numerical MCQ
NEET27-CHEM-0020,1,Atomic theory and Avogadro's law,Medium,Conceptual/application MCQ
NEET27-CHEM-0021,1,Laws of chemical combination,Medium,One-step numerical MCQ
NEET27-CHEM-0022,1,Atomic and molecular masses,Medium,One-step numerical MCQ
NEET27-CHEM-0023,1,Laws of chemical combination,Difficult,Multi-step numerical MCQ
NEET27-CHEM-0024,1,Limiting Reagent,Easy,Statement-based MCQ
NEET27-CHEM-0025,1,Laws of chemical combination,Medium,One-step numerical MCQ
NEET27-CHEM-0026,1,Laws of chemical combination,Medium,Graph/data interpretation MCQ
NEET27-CHEM-0027,1,Atomic and molecular masses,Medium,One-step numerical MCQ
NEET27-CHEM-0028,1,Molar mass,Medium,Conceptual/application MCQ
NEET27-CHEM-0029,1,Atomic and molecular masses,Medium,Conceptual/application MCQ
NEET27-CHEM-0030,1,Limiting Reagent,Difficult,Statement-based MCQ
NEET27-CHEM-0031,1,Molarity,Difficult,Statement-based MCQ
NEET27-CHEM-0032,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0033,1,Laws of chemical combination,Medium,Conceptual/application MCQ
NEET27-CHEM-0034,1,Stoichiometry,Medium,One-step numerical MCQ
NEET27-CHEM-0035,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0036,1,Molarity,Difficult,Sequence/match MCQ
NEET27-CHEM-0037,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0038,1,Concentration terms,Medium,One-step numerical MCQ
NEET27-CHEM-0039,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0040,1,Percentage composition,Medium,One-step numerical MCQ
NEET27-CHEM-0041,1,Nature and classification of matter,Medium,Conceptual/application MCQ
NEET27-CHEM-0042,1,Percentage composition,Medium,One-step numerical MCQ
NEET27-CHEM-0043,1,Molecular Formula,Easy,Statement-based MCQ
NEET27-CHEM-0044,1,Stoichiometry,Medium,One-step numerical MCQ
NEET27-CHEM-0045,1,Molecular formula,Medium,One-step numerical MCQ
NEET27-CHEM-0046,1,Stoichiometry,Medium,Reaction/reagent MCQ
NEET27-CHEM-0047,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0048,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0049,1,Nature and classification of matter,Medium,Conceptual/application MCQ
NEET27-CHEM-0050,1,Percentage Composition,Difficult,Sequence/match MCQ
NEET27-CHEM-0051,1,Laws of chemical combination,Medium,Conceptual/application MCQ
NEET27-CHEM-0052,1,Molarity,Easy,Statement-based MCQ
NEET27-CHEM-0053,1,Empirical formula,Medium,One-step numerical MCQ
NEET27-CHEM-0054,1,Mole concept and molar mass,Difficult,Multi-step numerical MCQ
NEET27-CHEM-0055,1,Empirical Formula,Easy,Statement-based MCQ
NEET27-CHEM-0056,1,Atomic and molecular masses,Difficult,Multi-step numerical MCQ
NEET27-CHEM-0057,1,Nature and classification of matter,Medium,Conceptual/application MCQ
NEET27-CHEM-0058,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0059,1,Percentage Composition,Easy,Statement-based MCQ
NEET27-CHEM-0060,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0061,1,Stoichiometry,Medium,One-step numerical MCQ
NEET27-CHEM-0062,1,Percentage Composition,Medium,Conceptual/application MCQ
NEET27-CHEM-0063,1,Percentage composition,Medium,One-step numerical MCQ
NEET27-CHEM-0064,1,Empirical Formula,Difficult,Sequence/match MCQ
NEET27-CHEM-0065,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0066,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0067,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0068,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0069,1,Laws of chemical combination,Difficult,Statement-based MCQ
NEET27-CHEM-0070,1,Molecular Formula,Easy,Direct recall MCQ
NEET27-CHEM-0071,1,Mole concept and molar mass,Medium,Multi-step numerical MCQ
NEET27-CHEM-0072,1,Stoichiometry,Medium,One-step numerical MCQ
NEET27-CHEM-0073,1,Laws of chemical combination,Difficult,Multi-step numerical MCQ
NEET27-CHEM-0074,1,Atomic theory and Avogadro's law,Difficult,Multi-step numerical MCQ
NEET27-CHEM-0075,1,Moles and gases,Difficult,Multi-step numerical MCQ
NEET27-CHEM-0076,1,Molarity,Easy,Direct recall MCQ
NEET27-CHEM-0077,1,Percentage composition,Medium,One-step numerical MCQ
NEET27-CHEM-0078,1,Atomic and molecular masses,Medium,Multi-step numerical MCQ
NEET27-CHEM-0079,1,Empirical Formula,Difficult,Statement-based MCQ
NEET27-CHEM-0080,1,Percentage composition,Medium,Conceptual/application MCQ
NEET27-CHEM-0081,1,Laws of chemical combination,Medium,One-step numerical MCQ
NEET27-CHEM-0082,1,Atomic theory and Avogadro's law,Medium,Reaction/reagent MCQ
NEET27-CHEM-0083,1,Moles and gases,Difficult,Multi-step numerical MCQ
NEET27-CHEM-0084,1,Mole concept,Medium,One-step numerical MCQ
NEET27-CHEM-0085,1,Percentage Composition,Difficult,Statement-based MCQ
NEET27-CHEM-0086,1,Nature and classification of matter,Medium,Conceptual/application MCQ
NEET27-CHEM-0087,1,Laws of chemical combination,Difficult,Multi-step numerical MCQ
NEET27-CHEM-0088,1,Atomic theory and Avogadro's law,Medium,Conceptual/application MCQ
NEET27-CHEM-0089,1,Stoichiometry,Medium,One-step numerical MCQ
NEET27-CHEM-0090,1,Molecular Formula,Difficult,Sequence/match MCQ
NEET27-CHEM-0091,2,Quantum numbers,Medium,One-step numerical MCQ
NEET27-CHEM-0092,2,Hund Rule,Difficult,Sequence/match MCQ
NEET27-CHEM-0093,2,Electron,Easy,Statement-based MCQ
NEET27-CHEM-0094,2,Magnetic Quantum Number,Easy,Statement-based MCQ
NEET27-CHEM-0095,2,Quantum numbers,Medium,Conceptual/application MCQ
NEET27-CHEM-0096,2,Azimuthal Quantum Number,Difficult,Structure/diagram MCQ
NEET27-CHEM-0097,2,Rutherford Model,Difficult,Sequence/match MCQ
NEET27-CHEM-0098,2,De Broglie Relation,Difficult,Sequence/match MCQ
NEET27-CHEM-0099,2,Orbital Node,Difficult,Sequence/match MCQ
NEET27-CHEM-0100,2,Proton,Difficult,Statement-based MCQ
NEET27-CHEM-0101,2,Quantum-mechanical model,Medium,One-step numerical MCQ
NEET27-CHEM-0102,2,Electronic configuration,Medium,Conceptual/application MCQ
NEET27-CHEM-0103,2,Pauli Exclusion Principle,Medium,Conceptual/application MCQ
NEET27-CHEM-0104,2,Neutron,Easy,Statement-based MCQ
NEET27-CHEM-0105,2,Electron,Difficult,Statement-based MCQ
NEET27-CHEM-0106,2,Heisenberg Uncertainty Principle,Easy,Statement-based MCQ
NEET27-CHEM-0107,2,Pauli Exclusion Principle,Difficult,Statement-based MCQ
NEET27-CHEM-0108,2,Rutherford Model,Easy,Direct recall MCQ
NEET27-CHEM-0109,2,Electronic configuration,Medium,One-step numerical MCQ
NEET27-CHEM-0110,2,Pauli Exclusion Principle,Easy,Statement-based MCQ
NEET27-CHEM-0111,2,Electronic configuration,Medium,One-step numerical MCQ
NEET27-CHEM-0112,2,Dual nature,Medium,Statement-based MCQ
NEET27-CHEM-0113,2,Principal Quantum Number,Difficult,Statement-based MCQ
NEET27-CHEM-0114,2,Electronic configuration,Medium,Conceptual/application MCQ
NEET27-CHEM-0115,2,Quantum numbers,Medium,One-step numerical MCQ
NEET27-CHEM-0116,2,Isoelectronic Species,Medium,Conceptual/application MCQ
NEET27-CHEM-0117,2,Electronic configuration,Medium,Conceptual/application MCQ
NEET27-CHEM-0118,2,Magnetic Quantum Number,Difficult,Sequence/match MCQ
NEET27-CHEM-0119,2,Quantum numbers,Easy,Direct recall MCQ
NEET27-CHEM-0120,2,Quantum numbers,Easy,Direct recall MCQ
NEET27-CHEM-0121,2,Azimuthal Quantum Number,Difficult,Sequence/match MCQ
NEET27-CHEM-0122,2,Heisenberg Uncertainty Principle,Difficult,Statement-based MCQ
NEET27-CHEM-0123,2,Bohr Orbit,Easy,Direct recall MCQ
NEET27-CHEM-0124,2,Quantum numbers,Medium,One-step numerical MCQ
NEET27-CHEM-0125,2,Electronic configuration,Medium,Conceptual/application MCQ
NEET27-CHEM-0126,2,Quantum numbers,Medium,One-step numerical MCQ
NEET27-CHEM-0127,2,Aufbau Principle,Difficult,Sequence/match MCQ
NEET27-CHEM-0128,2,Azimuthal Quantum Number,Easy,Structure/diagram MCQ
NEET27-CHEM-0129,2,Magnetic Quantum Number,Medium,Conceptual/application MCQ
NEET27-CHEM-0130,2,Spin Quantum Number,Easy,Statement-based MCQ
NEET27-CHEM-0131,2,Electromagnetic radiation,Medium,Conceptual/application MCQ
NEET27-CHEM-0132,2,Bohr model,Medium,Conceptual/application MCQ
NEET27-CHEM-0133,2,Spin Quantum Number,Medium,Conceptual/application MCQ
NEET27-CHEM-0134,2,Aufbau Principle,Easy,Direct recall MCQ
NEET27-CHEM-0135,2,Hund Rule,Easy,Direct recall MCQ
NEET27-CHEM-0136,2,Principal Quantum Number,Difficult,Sequence/match MCQ
NEET27-CHEM-0137,2,Orbital Node,Easy,Statement-based MCQ
NEET27-CHEM-0138,2,Neutron,Easy,Direct recall MCQ
NEET27-CHEM-0139,2,Spin Quantum Number,Difficult,Sequence/match MCQ
NEET27-CHEM-0140,2,Bohr Orbit,Difficult,Sequence/match MCQ
NEET27-CHEM-0141,2,Electronic configuration,Medium,One-step numerical MCQ
NEET27-CHEM-0142,2,Electron,Difficult,Sequence/match MCQ
NEET27-CHEM-0143,2,Electronic configuration,Medium,Conceptual/application MCQ
NEET27-CHEM-0144,2,Bohr Orbit,Easy,Statement-based MCQ
NEET27-CHEM-0145,2,Aufbau Principle,Easy,Statement-based MCQ
NEET27-CHEM-0146,2,Orbital Node,Difficult,Statement-based MCQ
NEET27-CHEM-0147,2,Photoelectric effect,Medium,Conceptual/application MCQ
NEET27-CHEM-0148,2,Azimuthal Quantum Number,Medium,Conceptual/application MCQ
NEET27-CHEM-0149,2,De Broglie Relation,Easy,Direct recall MCQ
NEET27-CHEM-0150,2,Electronic configuration,Medium,Conceptual/application MCQ
NEET27-CHEM-0151,2,Electron,Easy,Direct recall MCQ
NEET27-CHEM-0152,2,Principal Quantum Number,Easy,Statement-based MCQ
NEET27-CHEM-0153,2,Rutherford Model,Difficult,Statement-based MCQ
NEET27-CHEM-0154,2,Dual nature,Medium,Statement-based MCQ
NEET27-CHEM-0155,2,Hund Rule,Easy,Statement-based MCQ
NEET27-CHEM-0156,2,Pauli Exclusion Principle,Difficult,Sequence/match MCQ
NEET27-CHEM-0157,2,Magnetic Quantum Number,Difficult,Statement-based MCQ
NEET27-CHEM-0158,2,Quantum numbers,Easy,Direct recall MCQ
NEET27-CHEM-0159,2,Isoelectronic Species,Easy,Statement-based MCQ
NEET27-CHEM-0160,2,Aufbau Principle,Difficult,Statement-based MCQ
NEET27-CHEM-0161,2,Dual nature,Medium,Conceptual/application MCQ
NEET27-CHEM-0162,2,Isoelectronic Species,Difficult,Sequence/match MCQ
NEET27-CHEM-0163,2,Rutherford Model,Easy,Statement-based MCQ
NEET27-CHEM-0164,2,Proton,Easy,Statement-based MCQ
NEET27-CHEM-0165,2,Hund Rule,Difficult,Statement-based MCQ
NEET27-CHEM-0166,2,Proton,Difficult,Sequence/match MCQ
NEET27-CHEM-0167,2,Bohr Orbit,Difficult,Statement-based MCQ
NEET27-CHEM-0168,2,Quantum numbers,Medium,Conceptual/application MCQ
NEET27-CHEM-0169,2,Spin Quantum Number,Difficult,Statement-based MCQ
NEET27-CHEM-0170,2,De Broglie Relation,Difficult,Statement-based MCQ
NEET27-CHEM-0171,2,Heisenberg Uncertainty Principle,Difficult,Sequence/match MCQ
NEET27-CHEM-0172,2,Principal Quantum Number,Medium,Conceptual/application MCQ
NEET27-CHEM-0173,2,Atomic orbitals,Medium,Structure/diagram MCQ
NEET27-CHEM-0174,2,Orbital Node,Easy,Direct recall MCQ
NEET27-CHEM-0175,2,Electronic configuration,Medium,Conceptual/application MCQ
NEET27-CHEM-0176,2,Neutron,Difficult,Sequence/match MCQ
NEET27-CHEM-0177,2,Proton,Easy,Direct recall MCQ
NEET27-CHEM-0178,2,Heisenberg Uncertainty Principle,Medium,Conceptual/application MCQ
NEET27-CHEM-0179,2,Neutron,Difficult,Statement-based MCQ
NEET27-CHEM-0180,2,De Broglie Relation,Easy,Statement-based MCQ
NEET27-CHEM-0181,3,Pi Bond,Easy,Statement-based MCQ
NEET27-CHEM-0182,3,Resonance,Easy,Statement-based MCQ
NEET27-CHEM-0183,3,VSEPR theory,Easy,Structure/diagram MCQ
NEET27-CHEM-0184,3,Valence-bond theory,Medium,Structure/diagram MCQ
NEET27-CHEM-0185,3,VSEPR theory,Easy,Structure/diagram MCQ
NEET27-CHEM-0186,3,Pi Bond,Difficult,Sequence/match MCQ
NEET27-CHEM-0187,3,Bonding concepts,Medium,Statement-based MCQ
NEET27-CHEM-0188,3,Resonance,Difficult,Sequence/match MCQ
NEET27-CHEM-0189,3,Molecular-orbital theory,Medium,One-step numerical MCQ
NEET27-CHEM-0190,3,VSEPR theory,Easy,Structure/diagram MCQ
NEET27-CHEM-0191,3,Sigma Bond,Easy,Direct recall MCQ
NEET27-CHEM-0192,3,Bond polarity,Medium,Conceptual/application MCQ
NEET27-CHEM-0193,3,Coordinate Bond,Easy,Statement-based MCQ
NEET27-CHEM-0194,3,Molecular-orbital theory,Medium,One-step numerical MCQ
NEET27-CHEM-0195,3,Bond Order,Difficult,Sequence/match MCQ
NEET27-CHEM-0196,3,Covalent Bond,Easy,Direct recall MCQ
NEET27-CHEM-0197,3,Molecular-orbital theory,Medium,One-step numerical MCQ
NEET27-CHEM-0198,3,Molecular-orbital theory,Medium,Conceptual/application MCQ
NEET27-CHEM-0199,3,Sp Hybridization,Difficult,Structure/diagram MCQ
NEET27-CHEM-0200,3,Molecular-orbital theory,Medium,Conceptual/application MCQ
NEET27-CHEM-0201,3,Molecular-orbital theory,Medium,Conceptual/application MCQ
NEET27-CHEM-0202,3,Covalent Bond,Difficult,Sequence/match MCQ
NEET27-CHEM-0203,3,VSEPR theory,Easy,Structure/diagram MCQ
NEET27-CHEM-0204,3,Sp Hybridization,Easy,Statement-based MCQ
NEET27-CHEM-0205,3,Hydrogen Bonding,Easy,Statement-based MCQ
NEET27-CHEM-0206,3,Ionic Bond,Difficult,Statement-based MCQ
NEET27-CHEM-0207,3,Sigma Bond,Easy,Statement-based MCQ
NEET27-CHEM-0208,3,sp³ Hybridization,Easy,Direct recall MCQ
NEET27-CHEM-0209,3,Octet Rule,Difficult,Statement-based MCQ
NEET27-CHEM-0210,3,Octet Rule,Easy,Statement-based MCQ
NEET27-CHEM-0211,3,sp³ Hybridization,Difficult,Sequence/match MCQ
NEET27-CHEM-0212,3,Bond polarity,Medium,Conceptual/application MCQ
NEET27-CHEM-0213,3,Bonding concepts,Medium,Statement-based MCQ
NEET27-CHEM-0214,3,Formal Charge,Easy,Statement-based MCQ
NEET27-CHEM-0215,3,Pi Bond,Difficult,Statement-based MCQ
NEET27-CHEM-0216,3,Formal Charge,Difficult,Sequence/match MCQ
NEET27-CHEM-0217,3,Molecular-orbital theory,Medium,One-step numerical MCQ
NEET27-CHEM-0218,3,Sp Hybridization,Difficult,Sequence/match MCQ
NEET27-CHEM-0219,3,Formal Charge,Medium,Conceptual/application MCQ
NEET27-CHEM-0220,3,Octet Rule,Difficult,Sequence/match MCQ
NEET27-CHEM-0221,3,Bonding concepts,Medium,Statement-based MCQ
NEET27-CHEM-0222,3,Valence-bond theory,Medium,Structure/diagram MCQ
NEET27-CHEM-0223,3,sp³d Hybridization,Easy,Statement-based MCQ
NEET27-CHEM-0224,3,Coordinate Bond,Difficult,Sequence/match MCQ
NEET27-CHEM-0225,3,sp² Hybridization,Difficult,Structure/diagram MCQ
NEET27-CHEM-0226,3,Valence-bond theory,Medium,Structure/diagram MCQ
NEET27-CHEM-0227,3,Molecular-orbital theory,Medium,One-step numerical MCQ
NEET27-CHEM-0228,3,Valence-bond theory,Medium,Structure/diagram MCQ
NEET27-CHEM-0229,3,Covalent Bond,Easy,Statement-based MCQ
NEET27-CHEM-0230,3,VSEPR theory,Easy,Structure/diagram MCQ
NEET27-CHEM-0231,3,Molecular-orbital theory,Medium,One-step numerical MCQ
NEET27-CHEM-0232,3,sp³ Hybridization,Difficult,Structure/diagram MCQ
NEET27-CHEM-0233,3,Ionic Bond,Difficult,Sequence/match MCQ
NEET27-CHEM-0234,3,Sp Hybridization,Easy,Direct recall MCQ
NEET27-CHEM-0235,3,Octet Rule,Easy,Direct recall MCQ
NEET27-CHEM-0236,3,Valence-bond theory,Medium,Structure/diagram MCQ
NEET27-CHEM-0237,3,Valence-bond theory,Medium,Structure/diagram MCQ
NEET27-CHEM-0238,3,Coordinate Bond,Medium,Conceptual/application MCQ
NEET27-CHEM-0239,3,Molecular-orbital theory,Medium,Conceptual/application MCQ
NEET27-CHEM-0240,3,Valence-bond theory,Medium,Structure/diagram MCQ
NEET27-CHEM-0241,3,Molecular-orbital theory,Medium,Conceptual/application MCQ
NEET27-CHEM-0242,3,Valence-bond theory,Medium,Structure/diagram MCQ
NEET27-CHEM-0243,3,Bond Order,Easy,Statement-based MCQ
NEET27-CHEM-0244,3,VSEPR theory,Easy,Structure/diagram MCQ
NEET27-CHEM-0245,3,Bonding concepts,Medium,Statement-based MCQ
NEET27-CHEM-0246,3,sp³d² Hybridization,Easy,Direct recall MCQ
NEET27-CHEM-0247,3,Molecular-orbital theory,Medium,Conceptual/application MCQ
NEET27-CHEM-0248,3,Bond Order,Easy,Direct recall MCQ
NEET27-CHEM-0249,3,Resonance,Difficult,Statement-based MCQ
NEET27-CHEM-0250,3,Hydrogen Bonding,Difficult,Statement-based MCQ
NEET27-CHEM-0251,3,Vsepr Theory,Difficult,Sequence/match MCQ
NEET27-CHEM-0252,3,Vsepr Theory,Medium,Sequence/match MCQ
NEET27-CHEM-0253,3,Bonding concepts,Medium,Statement-based MCQ
NEET27-CHEM-0254,3,sp³d² Hybridization,Easy,Statement-based MCQ
NEET27-CHEM-0255,3,Molecular-orbital theory,Medium,Conceptual/application MCQ
NEET27-CHEM-0256,3,sp² Hybridization,Easy,Direct recall MCQ
NEET27-CHEM-0257,3,sp² Hybridization,Difficult,Sequence/match MCQ
NEET27-CHEM-0258,3,VSEPR theory,Easy,Structure/diagram MCQ
