id,source_class,unit,chapter,topic,subtopic,question_type,difficulty,cognitive_level,correct_option,figure_required,figure_files
NEET27-PHY-0001,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensional analysis,homogeneity,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0002,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensional analysis,pendulum dependence,Conceptual/application MCQ,Medium,Application,A,False,
NEET27-PHY-0003,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensional analysis,gravitational constant,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0004,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensional analysis,wave relation,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0005,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensional analysis,checking a relation,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0006,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensional analysis,limitations,Conceptual/application MCQ,Easy,Application,D,False,
NEET27-PHY-0007,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensions,equation check,Conceptual/application MCQ,Medium,Application,A,False,
NEET27-PHY-0008,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensions,dimensionless quantities,Direct MCQ,Easy,Recall,C,False,
NEET27-PHY-0009,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensions,energy,Conceptual/application MCQ,Easy,Application,D,False,
NEET27-PHY-0010,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensions,power,Conceptual/application MCQ,Easy,Application,D,False,
NEET27-PHY-0011,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensions,force,Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0012,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensions,dimensionless quantities,Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0013,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensions,gravitational constant,Direct MCQ,Easy,Recall,B,False,
NEET27-PHY-0014,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Conceptual/application MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0015,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,One-step numerical MCQ,Medium,Application,A,False,
NEET27-PHY-0016,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,Difficult,Analysis,D,False,
NEET27-PHY-0017,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Mean value,One-step numerical MCQ,Difficult,Analysis,D,False,
NEET27-PHY-0018,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,Difficult,Analysis,C,False,
NEET27-PHY-0019,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Types of error,Direct MCQ,Medium,Application,A,False,
NEET27-PHY-0020,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0021,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0022,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0023,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,One-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0024,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Reducing errors,Direct MCQ,Medium,Application,D,False,
NEET27-PHY-0025,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Conceptual/application MCQ,Easy,Application,D,False,
NEET27-PHY-0026,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Types of error,Direct MCQ,Easy,Recall,A,False,
NEET27-PHY-0027,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Mean absolute error,Multi-step numerical MCQ,Difficult,Analysis,D,False,
NEET27-PHY-0028,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Types of error,Direct MCQ,Medium,Application,A,False,
NEET27-PHY-0029,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,Difficult,Analysis,D,False,
NEET27-PHY-0030,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,Difficult,Analysis,C,False,
